	cause	effect
0	['lack', 'communication', 'translink', 'event', 'organizers']	['disruption', 'bus', 'service', 'gold', 'coast']
1	['philippines', 'won', 'arbitration', 'case', 'china', 'disputed', 'south', 'china', 'sea']	['philippine', 'rodrigo', 'duterte', 'called', 'cabinet', 'meeting']
2	['china', 'island', 'reclamation', 'following', 'claim', 'cent', 'sea', 'dash', 'line']	['south', 'china', 'sea', 'dispute', 'pressing', 'security', 'issues', 'east', 'asia', 'tensions', 'boiling']
3	['know', 'ploy', 'chinese']	['countries']
4	['law', 'not', 'respected']	['tension', 'south', 'china', 'sea']
5	['security', 'issue', 'southeast', 'asia']	['south', 'china', 'sea', 'dispute', 'issue', 'affects', 'countries', 'affects', 'asean']
6	['lack', 'enforcement', 'mechanism']	['hague', 'award', 'binding', 'observed', 'parties', 'china']
7	['countries', 'expanding', 'defense', 'budgets', 'attaching', 'increasing', 'importance', 'security']	['security', 'governance', 'suffered', 'setback']
8	['china', 'growing', 'influence', 'region', 'japan', 'ramping', 'efforts', 'oppose', 'china', 'issues']	['ties', 'china', 'result', 'dispute', 'concerns', 'having', 'lost', 'status']
9	['coordinator', 'china', 'asean', 'relations', 'assume', 'presidency', 'asean', 'year']	['singapore', 'holds', 'significance', 'diplomacy']
10	['perceives', 'called', 'freedom', 'navigation', 'operations', 'strategy', 'check', 'china', 'influence', 'region']	['donald', 'trump', 'administration', 'continuing', 'practice']
11	['attempted', 'tension', 'china', 'philippines']	['persons', 'philippines', 'laid', 'accusations', 'china']
12	['greed', 'capital', 'resources']	['wars', 'occur']
13	['throw', 'china', 'relations', 'balance', 'squander', 'results', 'achieved', 'advancing', 'cooperation']	['trump', 'discard', 'strategy', 'stirring', 'confrontation', 'south', 'china', 'sea', 'counterproductive']
14	['party', 'ability', 'order', 'state', 'pay', 'sums', 'money', 'disconcerting', 'nations']	['nations', 'hesitant', 'participate', 'isds', 'framework']
15	['countries', 'region', 'agreed', 'resolve', 'maritime', 'disputes', 'china', 'dialogue']	['freedom', 'navigation', 'operation', 'excuse', 'appears']
16	['thousands', 'miles', 'australia', 'china', 'not', 'pose', 'threat', 'country']	['chinese', 'not', 'understand', 'china', 'threat', 'theory', 'hyped', 'time', 'time', 'australia']
17	['aircraft', 'submarine', 'vessels', 'not', 'force']	['compared', 'standards', 'countries', 'navies', 'china', 'general', 'naval', 'strength', 'not']
18	['disputes', 'sovereignty', 'jurisdiction', 'islands', 'reefs', 'marine', 'resources', 'sea', 'lanes']	['realize', 'china', 'faces', 'maritime', 'threats', 'contradictions', 'frictions', 'threat', 'war']
19	['defense', 'policy', 'strategy', 'not', 'power']	['country', 'poses', 'threat', 'countries']
20	['cut', 'relations', 'soured']	['exchanges', 'aspect', 'china', 'relations']
21	['shinzo', 'abe', 'administration', 'refusal', 'face', 'history', 'actions']	['worsen', 'relations', 'beijing', 'tokyo', 'tense']
22	['destabilize', 'balance', 'east', 'asia', 'favor', 'united', 'states']	['protests', 'organized', 'lotte', 'group', 'business', 'conglomerate', 'headquartered', 'south', 'korea', 'accepted', 'plot', 'land', 'exchange', 'skyhill', 'golf', 'course', 'seongju', 'altitude', 'area', 'defense', 'system', 'deployed', 'china', 'opposes']
23	['nation', 'caused', 'harm']	['need', 'countries', 'caution', 'china', 'defense', 'measures']
24	['trump', 'unpredictability', 'opinions', 'cabinet']	['remained', 'seen', 'washington', 'follow', 'tillerson', 'proposal']
25	['suspected', 'breach', 'hong', 'kong', 'law']	['singaporean', 'vehicles', 'impounded', 'customs', 'nov']
26	['impact', 'pivot', 'asia']	['reason', 'duterte', 'distanced', 'country', 'alliance']
27	['lack', 'resources', 'opportunities', 'country']	['filipinos', 'suffer', 'poverty']
28	['obama', 'administration', 'rebalancing', 'asia', 'pacific', 'strategy', 'deployment', 'thaad', 'makes']	['japan', 'rok', 'ties', 'improving', 'not', 'deepening', 'trust']
29	['want', 'washington', 'allies', 'asia', 'believe', 'accepted', 'china']	['obama', 'beating', 'concept']
30	['deterrence']	['navy', 'air', 'force', 'safeguarding', 'china', 'sovereignty', 'south', 'china', 'sea']
31	['trans', '-', 'pacific', 'partnership', 'agreement', 'aimed', 'furthering', 'interests']	['trump', 'administration', 'policy', 'agenda', 'revising', 'trans', '-', 'pacific', 'partnership', 'agreement']
32	['helped', 'create', 'provoked', 'disputes', 'waters']	['lays', 'bare', 'hypocrisy', 'allies']
33	['china', 'longstanding', 'dispute', 'india', 'spat', 'japan', 'diaoyu', 'islands', 'east', 'china', 'sea']	['hope', 'anti', '-', 'china', 'alliance', 'forged', 'world', 'nation', 'economy']
34	['harm', 'ties']	['months', 'obama', 'administration', 'not', 'marked', 'tensions', 'beijing', 'washington', 'south', 'china', 'sea']
35	['white', 'house', 'advisor', 'warned', 'washington', 'revoke', 'hong', 'kong', 'trading', 'privileges', 'china', 'enacts', 'security', 'law']	['beijing', 'warned', 'measure', 'interests']
36	['announcing', 'weekend', 'paracel', 'islands', 'macclesfield', 'bank', 'surrounding', 'waters', 'administered', 'districts', 'sansha', 'city', 'china', 'created', 'woody', 'island']	['china', 'angered', 'vietnam']
37	['fish', 'sea', 'turtles']	['beijing', 'trying', 'seize', 'seas']
38	['president', 'donald', 'trump', 'criticized', 'prime', 'minister', 'malcolm', 'turnbull', 'phone', 'refugee', 'resettlement', 'agreement', 'president', 'barack', 'obama', 'countries']	['australia', 'relations', 'february']
39	['prime', 'minister', 'tony', 'abbott', 'ignored', 'warning', 'march', 'joined', 'infrastructure', 'investment', 'bank']	['expressed', 'concern']
40	['saudi', 'arabia', 'execution', 'cleric', 'sparked', 'attacks', 'posts', 'iran', 'solidarity', 'kingdom']	['qatar', 'pulled', 'ambassador', 'year']
41	['asean', 'nations', 'approved', 'framework', 'coc']	['china', 'proposed', 'step', 'vision', 'step', 'consultations', 'code', 'conduct', 'coc', 'south', 'china', 'sea']
42	['meeting', 'wang', 'develop', 'ties']	['beijing', 'manila', 'seek', 'exploration', 'resources', 'benefit', 'people', 'nations']
43	['government', 'guaranteed', 'missiles', 'yemen', 'not', 'buy']	['ship', 'released']
44	['losing', 'war']	['china', 'forced', 'cede', 'taiwan', 'japan', 'humiliating', 'treaty', 'shimonoseki']
45	['president', 'rodrigo', 'duterte', 'visit', 'china']	['philippines', 'arbitration', 'case', 'china', 'resolved']
46	['creation', 'gulf', 'pearl', 'chain']	['real', 'multilateral', 'success', 'come']
47	['aimed', 'furthering', 'interests']	['trump', 'administration', 'trans', '-', 'pacific', 'partnership', 'agreement', 'policy', 'agenda']
48	['state', 'visit', 'october', 'improved', 'china', 'ties']	['president', 'rodrigo', 'duterte', 'expected', 'visit', 'china', 'attend', 'summit']
49	['diplomat', 'refused', 'china', 'proposal', 'ruling', 'arbitration', 'case', 'concerning', 'south', 'china', 'sea']	['beijing', 'urged', 'manila', 'walk', 'path']
50	['arbitration', 'ruling', 'announced']	['beijing', 'issued', 'statements']
51	['trump', 'administration', 'threats', 'maritime', 'disputes', 'china']	['beijing', 'says', 'protect', 'territory']
52	['border', 'standoff', 'donglang', 'doklam', 'year']	['central', 'china', 'hubei', 'province', 'signaled', 'warming', 'relations']
53	['washington', 'miscalculations', 'china', 'attempt', 'defend', 'waters']	['actions', 'warships', 'taken', 'south', 'china', 'sea']
54	['flaring', 'tensions', 'south', 'china', 'sea', 'disputes']	['relations', 'suffered', 'setback']
55	['efforts', 'china', 'countries']	['situation', 'south', 'china', 'sea', 'stabilized', 'cooled']
56	['sanctions']	['defence', 'relations', 'china', 'iran', 'dates', 'co', '-', 'operation', 'saw', 'downfall']
57	['complaints', 'trade', 'deficits', 'china']	['showdown', 'economies']
58	['crimea', 'crisis']	['willingness', 'reset', 'relations', 'russia', 'resulted', 'relations', 'washington', 'moscow', 'worsened']
59	['friction', 'nations', 'region']	['east', 'asia', 'integration', 'weakening']
60	['majority', 'singaporeans', 'origin']	['china', 'singapore', 'relations', 'resilient']
61	['terror', 'attacks', 'south', 'china', 'sea', 'disputes']	['france', 'philippines', 'losing', 'attraction']
